targetId,totalPeers,respondedPeers,hitPeers,hit_rate,source,ipv4
c6b5b18f7deb75b1349253e4f7efe7494146ac4b72eb83ab5106953a2cb18c62dbad5dcfa506a4c95fcc5cad3509bba1a0ad42595bf4afa888f995eff950af4f,5562,603,62,10.28%,,65.21.131.167
a91d8b055084508bc4cd49852cea6fa969f35c79e58076256589c6ed5f73b66e100f12025a39be27386c9f262ee1e1cfc1670d72fca1473cceaf320288e10190,5562,779,62,7.96%,,16.162.38.213
9626f555304b2fbad251462dba9f9f805d9f8f94dbefb01d761933e83a6bc9b0bf95804bdcb11ac4f8b2ed1b8c7bb077fd39a21ba78139e619e861d7b86c2d96,5562,785,61,7.77%,,107.6.91.39
8cc8260a138823ae73380cbf1132d192dac3cf5867a342148b3a056db892622f55dfdedf36a63014cfe51d5ea301ec29d0918bb85a4c8fe41dbcadfe52a0c79d,5562,596,60,10.07%,,18.209.42.127
faca503ecf97996f1feba608847805bd989d8f73cb0e7dd461934527f4233e9b61ddc91200569ccd4fa201bd87fe1f5c86a20c4f80b5530b0674d3ab9de0a68a,5562,598,60,10.03%,,135.125.87.178
129d63c671f92c2e43cbf25b895d0a0520e0163a2478287de2460960b942b740dc0e4767f1eb7b3cad4bce8045e29db8b61168a485665665230d9afa44cdb842,5562,604,59,9.77%,api.trongrid.io,104.198.108.89
f01974e2668e714d03f0edb1ce76e61e1e65c3b3104c4dd3dd48869c36557be9f0fbf650768203402bbf7dcf8760bc5c28a36e8f6c492e2705278f1692320955,5562,785,59,7.52%,,52.68.143.123
4db5d6eadb8286700a91b6a8b8fd5af472409f97c68cefe2191f0d26ab6d41ec182c1063884af40bb93f61cb4e9f4cccaa9eb9901ea274bb086eead65944cfe1,5562,603,57,9.45%,,52.8.41.162
fbc2f3c142afb68c6723a3f22cac35687b3ba48407b3c45aaabf6dc9d549b362d59c865ad421adfc70b2ee1cb18debe89fae54b559f1688c1f4022722cb58361,5562,610,57,9.34%,,95.216.0.33
8a133495ff08d747cd37baf74e1882e724fac3dd89cfd1b57160471ef82a1deb9e1a8e134626ea78e95cd481b9d3ee82687cf3884c28b89f9c1bd5d96a9838ac,5562,596,55,9.23%,,18.198.229.137
55522b69bb3307cacf865bd8c4cec372145fd006cf32d8f389fd5aa2852a4efc04246d67ae6b693485e40b2556c23f2cfb4dcd91773b6ecc5cfc0ff5e2780e6e,5562,782,55,7.03%,api.trongrid.io,34.168.180.192
ec081be0d610f5712f19c1fe4edacbc4296117d3744d216c60cf170271bb7051213a652507f19aa2159bcea781f6b5103bc5024a69105ebe5e46cd88af2cf2d5,5562,783,55,7.02%,,142.132.144.189
5dfadb578c2e83386d7f07da684c06140c7fc1353df06c81a11b84b649c1e8f7cf4dd57dacf35625acfbbdaabcd7bd0bd92d668d5ae21133d349769a5a8ae5dc,5562,598,54,9.03%,,18.139.248.26
9c1caeabfde77ca31603ade1b8b6c411631d73f302cb226e1fa02581b4dc3d2502a2560d9b9b22e450930b7b233ae7f64da1caf97d5a362716f0168c749c79a7,5562,779,51,6.55%,,5.183.173.201
b6126d539370fb22d0d11e31696973bdde6e438fa511ddbd88c3e43f0ed4195c001539cefbf768bbeda6e73cce477e4ebe3c2237c85cd94db82ac44464b9f551,5562,783,51,6.51%,,118.175.0.235
c6ea7d8779d1fcf9e06b93b8d53ccbfa2273cbc013534685a8382533ea24e03190eeafe50f14ad322f21407d7937acb325c381caf514df9dfd52a464f48220ed,5562,781,50,6.40%,,117.20.40.85
58ece620a192641aaa31597a6654e2978f0285e7e9e8d45bab57e5d200020535bbb12f939e52cd987dfc77de4ab85ba6157d713236ca459403acecbd5a61aa4c,5562,602,49,8.14%,,65.108.97.57
9e970153d58346fc6816f32990002576aa67a08e9b6d9719c894c6556e0feb3eb8a042aec61e70bcc8f7b10fba2d1538044e0a8643801283b7aadf041ea80274,5562,603,49,8.13%,api.trongrid.io,34.168.61.97
8802f213625126b692accea81b4fdfc66dc30cfc9b4bc03bfc97cb6428e9b70b7ed9c80b4661749ec81deea6a6d7d233dec7bba782cfe1a854eb0f390bd8f418,5562,593,48,8.09%,,37.27.227.152
f4c1df029b06a5e0093536ae89b58cf8b2e77dc8e2d03ddcad2cf2b6c1a8df44e4fcfdb5410bf0c45ad1cc0c1b1974ae9e14c3c93d4fe951143fbfaa1bab7e5d,5562,613,48,7.83%,api.trongrid.io,104.196.225.61
1703fee426dd4289e13e4faee4d9fe4c88679440965c1dcd8001d9ef39a4e14d4d00bfd24fc596f4fd354666cf3fa327c773dfd9a0a6e8ea736b570f8b25663a,5562,594,47,7.91%,,116.203.114.69
3b9f44c95ed99834d2ca9a72d94c6dda68269a4df245bbed5efdeab1258d6d911e58720313dbf00016d2ce06946cfe7374d4633cbe4947eaaa541c3eb8d826dc,5562,607,47,7.74%,api.trongrid.io,35.230.74.253
a1643685571a989a8dc38801cea3db6338d7ec8d0b86ee74cea889b39c5573ec02d7655468faa2690e3747e8848c8df11796a1b8d220d166a45cdec0631c6e91,5562,785,47,5.99%,tron.twnodes.com,206.217.210.163
ae72f776ae4125cb5e528b95b38cedda9bbfc30bcdc1f8d3f9e0b230d98af860d9816c9329b042952f7a1453e57b5b13431bc122bf5716e1e936652fdf7ffb1e,5562,606,46,7.59%,,85.209.134.195
1149e619704ea31f45b303e15c93445c6771e826581212e5702319f27c629d20445bf87812e33119a4771fe88e7df58ece1a8a14c7eaa73cc5e91783dd57e6fc,5562,786,46,5.85%,,37.27.66.239
9626f555304b2fbad251462dba9f9f805d9f8f94dbefb01d761933e83a6bc9b0bf95804bdcb11ac4f8b2ed1b8c7bb077fd39a21ba78139e619e861d7b86c2d96,5562,606,45,7.43%,tron.twnodes.com,107.6.91.39
6385c45a9370d96e4196eeaa30801f96e594c7b57dfe03915ed3cfea2b58cb5044148c0cf2b0aa0030f4f5653d12e8f4f020b2b12f342c1f4cd8d03bd438145b,5562,608,44,7.24%,trx.mytokenpocket.vip,47.104.173.32
2840a875e4ca9d6e22cb4f4eb38c8e91fde0e5d09f28728f1b2e730010061717c974193e4002ef4ad1176bb5a61f377e13b068a1756454dd2859e78faf573883,5562,784,44,5.61%,trx.mytokenpocket.vip,172.24.100.163
73ff659d75b477e21b11bd910b8ea187a357a7a0ecfcf526f6ea7676284cf9cf2165deea87d012ee2aa7bae3789873e426f2509af1c76fa74eef6d487837f855,5562,786,44,5.60%,,18.141.79.38
c9863d60aefd3c35c9883a2447a0c2392d9927857510e571f4ee9d959b7529da8cb14b0a72d2114dc496816a51e7b864dee17fc19ce2b4ba2300eeac0f3a72ba,5562,606,43,7.10%,api.trongrid.io,44.225.65.20
90f4827ecb1fa43a4ef4afbf842f993ad3c9cab9df4c5897da073399f7858df07d669a248a1193f7542705eb4bcd4dcecb3388c28c09c8c9dc53ff2bb5db3fc5,5562,777,43,5.53%,,18.139.193.235
a1643685571a989a8dc38801cea3db6338d7ec8d0b86ee74cea889b39c5573ec02d7655468faa2690e3747e8848c8df11796a1b8d220d166a45cdec0631c6e91,5562,604,42,6.95%,,206.217.210.163
7428b547fd0eb34f8468b9cfc4fc71916dbfddc854ab88072f2e79c4c00edc6bc599c54454bf2cdd8a9e8146b449fb593c710e47c88b1af06afa563c1aad047f,5562,773,42,5.43%,,18.166.99.110
5d218360c473572f4bae25b6af2591ce186aaa17a037eab656e2a94602aaade2c88a9d5bedb480e8ebb3fab504c0bfa334e5ae45cb9f2a43df815396990b2b88,5562,775,41,5.29%,,18.163.17.58
58799d5a17d2148c9d433fd0584939e785c61164af15ec6d607ff3d1aad39fc780755e96a4f89aef15c9416d745e17d4e4e90d8ce86f330e597376c65e4b0669,5562,603,39,6.47%,api.trongrid.io,35.247.6.113
fc0a1090f8d1c014cca2cb9e2d0e25110acfb6786e12b0d2ad70b25f296cb55f30e79cc2c415c8c40a108c3791e9bfb63cda0d6805663f68d23e44feef25e7dc,5562,609,39,6.40%,trx.mytokenpocket.vip,8.217.133.60
ab98843fd2c2b246f15d706a07e7aa5d7a53943fcbb3dc3f0e209efc2a82ab56cdf96ea5cb703e19abbaa01a0848fce50b4544f5abee70d897bca22158a40588,5562,786,39,4.96%,,135.125.96.207
8d0f8ab5f811e584e589a469b93872b7871997f629d04357e6a5ac4a0e10a0c25b7a6f63fcc3d509fb7682c758ea91dcd146baaf0cf71fa529e80e6d7c4d2c4b,5562,599,38,6.34%,,34.199.67.116
ea4cc064381fceba5857d1de8f99a8446d2219eff58da7c5eecc5b39bec75cb27496545b871eea06210815b79bdf949cb695bf5205d245d4c2bbda08e7c0ff9b,5562,603,38,6.30%,,43.198.47.50
c6ea7d8779d1fcf9e06b93b8d53ccbfa2273cbc013534685a8382533ea24e03190eeafe50f14ad322f21407d7937acb325c381caf514df9dfd52a464f48220ed,5562,608,37,6.09%,tron.twnodes.com,117.20.40.85
8f8a05da16be1b79695afccdc5f43d8bc01058db9864bc8c50aa3308ad4d9f96b65fffebb2931163f137037a816e3c3d6d3f524e4fa584af946b3e17edef9347,5562,785,37,4.71%,,43.198.147.230
e65c68707ed15b1d6f7161fb36526576fe67b688896e06d7f173cfd0182b2b5b4871a343c92adc200661f66d7c337b13f6e4c13c8c9540008114b2130cc59141,5562,598,35,5.85%,,104.237.1.186
e5965df25a8da797ecf04606577d460d0423881de2c6b148df950ceb3f7c0f47e769dcc3d1370fa119bf1fa22413a0a924bdf1865e7975a7d329cc7a72be559a,5562,597,34,5.70%,,3.218.136.234
f270ef43a5a7bb2ccf9f750e7a4d5f2e50575d2d40683377cfea5c86225108c3da7ca33203f65ecaf9ad9a75af049c913c23e71e2d59c01be914fdf994bb49f8,5562,605,32,5.29%,,51.89.102.60
e138b095559bc89c036e9ab5eeba04301c9911a10eff0dd8c065a4cd94eff80517eb8733c41ad2fcf2a288713f37e445e89922d1cca43b352a5e4a7a8024ead0,5562,600,27,4.50%,,13.228.119.63
